Name;Lactobacillus_crispatus;Escherichia_coli;Enterococcus_faecalis;Lactobacillus_iners;Gardnerella_vaginalis;Citrobacter_koseri;Klebsiella_pneumoniae;Lactobacillus_gasseri;Lactobacillus_jensenii;Gardnerella_leopoldii;Bifidobacterium_breve;Enterobacter_asburiae;Gardnerella_swidsinskii;Fannyhessea_vaginae;Proteus_vulgaris;Streptococcus_agalactiae;Prevotella_bivia;Citrobacter_freundii;Gardnerella_piotii;Staphylococcus_haemolyticus;lsa(C);tet(M);erm(B);aph(3')-III;lsa(A);cfxA3;mef(A);msr(D);blaTEM-1B;erm(A);tet(Q);erm(X);lnu(C);erm(F);ant(6)-Ia;blaTEM-116;aph(3'')-Ib;mre(A);aph(6)-Id;fosA;sul2;mph(C);fosB;blaMAL-1;tet(W);tet(O);tet(L);tet(A);fosA7;erm(C);blaZ;cfxA;dfrA1;dfrA17;sul1;tet(B);tet(O/32/O);blaTEM-1A;OqxA;lnu(A);catA2;OqxB;cfxA4;bleO;dfrG;cat;msr(A);tet(O/W);blaTEM-1C;qnrS1
Bifidobacterium_breve;0.6034;0.964;0.99;0.001;0.036;0.006;0.021;0.001;0.3986;0.5235;1;0.018;0.7992;0.4765;0.4206;0.001;0.001;0.005;0.8492;0.4006;0.001;0.8871;0.5495;0.001;0.8681;0.001;0.1359;0.2607;0.1009;0.001;0.001;0.001;1;0.001;0.008;0.4685;0.5235;0.002;0.6823;0.3277;0.5964;0.0899;0.0549;0.0789;0.001;0.007;0.5664;0.0529;0.1079;0.034;0.0509;0.025;0.0779;0.1079;0.014;0.028;0.002;0.1039;0.025;0.2667;0.023;0.03;0.0699;0.014;0.001;0.6513;0.011;0.2078;0.3257;0.0949
Enterobacter_asburiae;0.0689;0.001;0.2358;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.018;1;0.001;0.001;0.001;0.001;0.037;0.001;0.001;0.3137;0.001;0.001;0.0639;0.0589;0.0529;0.0629;0.001;0.001;0.001;0.008;0.011;0.6164;0.2867;0.3606;0.1538;0.005;0.001;0.9411;0.001;0.001;0.001;0.006;0.003;0.001;0.034;0.03;0.001;0.001;0.001;0.2058;0.0619;0.5854;0.018;0.008;0.001;0.0569;0.1089;0.004;0.001;0.8422;0.5774;0.001;0.3177;0.1848;0.2448;0.7423;0.012;0.1988;0.5195;0.1898
Gardnerella_swidsinskii;0.2388;0.001;0.001;0.0859;0.001;0.001;0.001;0.001;0.2198;0.001;0.7992;0.001;1;0.001;0.001;0.5415;0.001;0.2947;0.001;0.001;0.001;0.003;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.3307;0.001;0.043;0.5075;0.6733;0.001;0.03;0.001;0.001;0.001;0.001;0.001;0.002;0.2088;0.0929;0.0969;0.002;0.2817;0.001;0.037;0.2298;0.001;0.5654;0.001;0.006;0.001;0.018;0.6543;0.041;0.001;0.1588;0.01;0.001;0.8352;0.007;0.001;0.1878;0.013;0.7852;0.0679;0.042
Fannyhessea_vaginae;0.002;0.001;0.001;0.001;0.001;0.001;0.001;0.3017;0.986;0.001;0.4765;0.001;0.001;1;0.2488;0.3267;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.6973;0.001;0.001;0.001;0.6354;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.2667;0.1249;0.0639;0.001;0.001;0.001;0.001;0.0519;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001
Proteus_vulgaris;0.001;0.004;0.0559;0.4575;0.036;0.001;0.015;0.001;0.001;0.001;0.4206;0.001;0.001;0.2488;1;0.007;0.3457;0.001;0.003;0.001;0.4825;0.6124;0.017;0.014;0.034;0.006;0.0759;0.1968;0.0599;0.2527;0.001;0.1858;0.6853;0.1748;0.018;0.3756;0.0639;0.1089;0.036;0.013;0.5634;0.002;0.004;0.8222;0.6254;0.001;0.0529;0.2498;0.6903;0.4166;0.001;0.6394;0.7483;0.2697;0.7243;0.7323;0.3147;0.5495;0.1479;0.1039;0.3936;0.039;0.1339;0.002;0.014;0.001;0.006;0.1848;0.1848;0.039
Streptococcus_agalactiae;0.007;0.011;0.001;0.7453;0.4006;0.005;0.001;0.7612;0.025;0.1379;0.001;0.001;0.5415;0.3267;0.007;1;0.001;0.001;0.6983;0.001;0.2358;0.001;0.001;0.2258;0.002;0.003;0.6933;0.5425;0.001;0.001;0.011;0.5704;0.001;0.5574;0.044;0.002;0.001;0.001;0.001;0.001;0.001;0.1399;0.013;0.001;0.3167;0.001;0.2458;0.002;0.001;0.002;0.6404;0.5934;0.009;0.001;0.001;0.001;0.0919;0.001;0.001;0.001;0.001;0.001;0.001;0.004;0.008;0.001;0.3337;0.001;0.001;0.001
Prevotella_bivia;0.0839;0.3926;0.044;0.001;0.001;0.2857;0.001;0.006;0.003;0.001;0.001;0.037;0.001;0.001;0.3457;0.001;1;0.2877;0.001;0.1189;0.0729;0.5774;0.004;0.1558;0.007;0.001;0.4865;0.5415;0.018;0.001;0.001;0.7243;0.046;0.001;0.015;0.0539;0.041;0.0779;0.025;0.002;0.041;0.004;0.001;0.001;0.5285;0.016;0.044;0.002;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.003;0.1319;0.001;0.001;0.001;0.001;0.001;0.001;0.002;0.001;0.001;0.003;0.001;0.001;0.001
Citrobacter_freundii;0.001;0.001;0.2028;0.001;0.001;0.001;0.001;0.001;0.001;0.1219;0.005;0.001;0.2947;0.001;0.001;0.001;0.2877;1;0.0799;0.3017;0.001;0.001;0.001;0.0689;0.2028;0.9471;0.1179;0.03;0.001;0.02;0.9411;0.0719;0.0829;0.7742;0.0509;0.4555;0.001;0.3826;0.001;0.001;0.001;0.001;0.005;0.001;0.002;0.7992;0.024;0.001;0.001;0.014;0.001;0.045;0.6683;0.2867;0.001;0.025;0.003;0.022;0.001;0.028;0.7223;0.001;0.002;0.003;0.015;0.05;0.001;0.004;0.0709;0.9291
Gardnerella_piotii;0.8531;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.003;0.001;0.8492;0.001;0.001;0.001;0.003;0.6983;0.001;0.0799;1;0.001;0.001;0.0539;0.001;0.014;0.001;0.001;0.001;0.001;0.001;0.9111;0.003;0.02;0.2218;0.984;0.001;0.025;0.001;0.001;0.001;0.002;0.001;0.001;0.0879;0.05;0.0979;0.05;0.5974;0.001;0.046;0.007;0.003;0.5644;0.009;0.001;0.001;0.0679;0.2537;0.048;0.004;0.022;0.007;0.002;0.4805;0.004;0.001;0.0579;0.012;0.9231;0.046;0.038
Staphylococcus_haemolyticus;0.024;0.001;0.001;0.001;0.001;0.9011;0.6763;0.1678;0.0579;0.002;0.4006;0.3137;0.001;0.001;0.001;0.001;0.1189;0.3017;0.001;1;0.001;0.001;0.01;0.001;0.001;0.009;0.003;0.007;0.6104;0.4166;0.006;0.1399;0.02;0.035;0.001;0.0509;0.2158;0.1239;0.1329;0.5235;0.979;0.001;0.001;0.007;0.001;0.009;0.8052;0.1758;0.001;0.004;0.001;0.001;0.003;0.002;0.0979;0.1658;0.012;0.004;0.2587;0.018;0.004;0.4515;0.001;0.001;0.014;0.031;0.001;0.002;0.001;0.003
lsa(C);0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.4056;0.004;0.001;0.001;0.001;0.001;0.001;0.4825;0.2358;0.0729;0.001;0.001;0.001;1;0.3027;0.005;0.001;0.001;0.2028;0.2488;0.2078;0.001;0.0569;0.6454;0.018;0.7133;0.7453;0.001;0.7612;0.001;0.003;0.001;0.002;0.001;0.004;0.0629;0.1608;0.4256;0.4745;0.8941;0.001;0.8661;0.2128;0.019;0.8991;0.3766;0.1029;0.001;0.2697;0.7642;0.7283;0.006;0.5914;0.7263;0.009;0.1079;0.2328;0.1888;0.4416;0.1339;0.3616;0.8402;0.7333
tet(M);0.039;0.001;0.001;0.001;0.001;0.001;0.002;0.0579;0.5614;0.003;0.8871;0.001;0.003;0.001;0.6124;0.001;0.5774;0.001;0.0539;0.001;0.3027;1;0.001;0.5624;0.001;0.7622;0.3616;0.5395;0.001;0.3397;0.3646;0.6124;0.022;0.7263;0.3926;0.001;0.001;0.0919;0.001;0.001;0.001;0.038;0.0879;0.001;0.2737;0.8711;0.4176;0.001;0.001;0.004;0.1149;0.6194;0.018;0.001;0.001;0.003;0.0909;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.0819;0.008;0.0979;0.002;0.001;0.001
erm(B);0.4126;0.1449;0.001;0.001;0.004;0.018;0.003;0.4296;0.4625;0.002;0.5495;0.0639;0.001;0.001;0.017;0.001;0.004;0.001;0.001;0.01;0.005;0.001;1;0.001;0.001;0.0619;0.1528;0.1299;0.003;0.3526;0.0809;0.2607;0.1039;0.5175;0.001;0.5734;0.2218;0.1469;0.4785;0.2138;0.1758;0.1928;0.3976;0.1738;0.7962;0.3876;0.7483;0.025;0.1888;0.3177;0.2188;0.3027;0.2468;0.5375;0.8521;0.3387;0.3936;0.4016;0.1878;0.3866;0.7013;0.2238;0.6573;0.7512;0.001;0.3137;0.9371;0.6973;0.1928;0.2478
aph(3')-III;0.3077;0.952;0.001;0.3337;0.002;0.4905;0.6034;0.4765;0.1039;0.001;0.001;0.0589;0.001;0.001;0.014;0.2258;0.1558;0.0689;0.014;0.001;0.001;0.5624;0.001;1;0.001;0.001;0.975;0.5674;0.027;0.002;0.002;0.1528;0.026;0.1628;0.001;0.1578;0.1598;0.998;0.1109;0.8871;0.0859;0.001;0.003;0.0729;0.5964;0.1518;0.3816;0.002;0.0849;0.8392;0.001;0.4316;0.1339;0.02;0.1229;0.1868;0.7153;0.011;0.5614;0.1379;0.8462;0.7093;0.041;0.001;0.001;0.2867;0.001;0.0609;0.012;0.0619
lsa(A);0.002;0.001;0.001;0.001;0.001;0.002;0.031;0.6204;0.024;0.001;0.8681;0.0529;0.001;0.001;0.034;0.002;0.007;0.2028;0.001;0.001;0.001;0.001;0.001;0.001;1;0.001;0.006;0.009;0.9231;0.5335;0.001;0.7532;0.0909;0.016;0.001;0.023;0.4645;0.1289;0.3007;0.6484;0.8701;0.001;0.001;0.6054;0.006;0.006;0.4266;0.977;0.7093;0.5245;0.001;0.007;0.2607;0.1249;0.5784;0.1309;0.002;0.2088;0.7403;0.1718;0.2737;0.2907;0.005;0.046;0.001;0.2138;0.001;0.012;0.0919;0.011
cfxA3;0.001;0.7582;0.001;0.002;0.014;0.1229;0.008;0.001;0.001;0.002;0.001;0.0629;0.001;0.001;0.006;0.003;0.001;0.9471;0.001;0.009;0.2028;0.7622;0.0619;0.001;0.001;1;0.047;0.0819;0.2118;0.001;0.001;0.6274;0.1329;0.001;0.009;0.0649;0.0729;0.1359;0.1169;0.006;0.0879;0.001;0.001;0.022;0.018;0.001;0.001;0.001;0.048;0.015;0.001;0.001;0.0779;0.001;0.001;0.0779;0.1009;0.006;0.007;0.009;0.049;0.001;0.02;0.001;0.002;0.0939;0.003;0.1908;0.7612;0.008
mef(A);0.4965;0.001;0.002;0.9311;0.001;0.004;0.004;0.3646;0.9311;0.001;0.1359;0.001;0.001;0.001;0.0759;0.6933;0.4865;0.1179;0.001;0.003;0.2488;0.3616;0.1528;0.975;0.006;0.047;1;0.001;0.007;0.6713;0.004;0.9251;0.9341;0.0919;0.0699;0.1449;0.001;0.1738;0.005;0.005;0.006;0.001;0.02;0.1399;0.001;0.002;0.0929;0.002;0.0619;0.0619;0.013;0.3766;0.043;0.02;0.008;0.0749;0.1329;0.044;0.005;0.042;0.0739;0.004;0.8981;0.1518;0.3487;0.2158;0.009;0.991;0.0819;0.012
msr(D);0.6234;0.001;0.006;0.8242;0.001;0.005;0.005;0.8821;0.955;0.001;0.2607;0.001;0.001;0.001;0.1968;0.5425;0.5415;0.03;0.001;0.007;0.2078;0.5395;0.1299;0.5674;0.009;0.0819;0.001;1;0.001;0.9261;0.01;0.5295;0.6404;0.2747;0.015;0.3277;0.001;0.4306;0.002;0.003;0.002;0.015;0.0529;0.2088;0.007;0.001;0.049;0.001;0.1429;0.1009;0.008;0.2587;0.037;0.019;0.013;0.0849;0.1638;0.1289;0.007;0.1029;0.1888;0.013;0.4026;0.2068;0.5614;0.2977;0.006;0.7303;0.4006;0.0689
blaTEM-1B;0.8242;0.001;0.2507;0.001;0.001;0.001;0.001;0.007;0.001;0.001;0.1009;0.001;0.001;0.001;0.0599;0.001;0.018;0.001;0.001;0.6104;0.001;0.001;0.003;0.027;0.9231;0.2118;0.007;0.001;1;0.1379;0.1948;0.1748;0.3806;0.8681;0.0809;0.8142;0.001;0.2777;0.001;0.0529;0.001;0.1159;0.0559;0.2208;0.021;0.1199;0.0519;0.001;0.5984;0.9251;0.0779;0.1079;0.001;0.001;0.001;0.002;0.1199;0.011;0.04;0.01;0.1888;0.0599;0.5235;0.4635;0.7692;0.2208;0.019;0.2328;0.2488;0.001
erm(A);0.4835;0.007;0.1528;0.1648;0.9041;0.024;0.002;0.7183;0.2617;0.5854;0.001;0.008;0.3307;0.6973;0.2527;0.001;0.001;0.02;0.9111;0.4166;0.0569;0.3397;0.3526;0.002;0.5335;0.001;0.6713;0.9261;0.1379;1;0.001;0.001;0.032;0.001;0.036;0.3516;0.2328;0.3377;0.2557;0.001;0.036;0.0789;0.0839;0.048;0.001;0.3866;0.4555;0.028;0.0529;0.2278;0.03;0.001;0.1548;0.006;0.001;0.012;0.004;0.008;0.001;0.039;0.006;0.001;0.013;0.015;0.0669;0.006;0.3926;0.5544;0.011;0.019
tet(Q);0.006;0.5105;0.001;0.003;0.009;0.002;0.002;0.001;0.002;0.001;0.001;0.011;0.001;0.001;0.001;0.011;0.001;0.9411;0.003;0.006;0.6454;0.3646;0.0809;0.002;0.001;0.001;0.004;0.01;0.1948;0.001;1;0.001;0.002;0.001;0.002;0.003;0.044;0.002;0.0779;0.001;0.007;0.002;0.002;0.001;0.001;0.001;0.4775;0.001;0.001;0.001;0.001;0.001;0.003;0.001;0.001;0.009;0.96;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.002;0.013;0.004;0.001
erm(X);0.8202;0.6044;0.7293;0.003;0.003;0.02;0.9341;0.2318;0.5764;0.024;0.001;0.6164;0.043;0.001;0.1858;0.5704;0.7243;0.0719;0.02;0.1399;0.018;0.6124;0.2607;0.1528;0.7532;0.6274;0.9251;0.5295;0.1748;0.001;0.001;1;0.9091;0.021;0.016;0.8472;0.4825;0.2288;0.1998;0.2258;0.4066;0.03;0.4875;0.4845;0.004;0.0549;0.048;0.4106;0.2677;0.1768;0.2018;0.001;0.98;0.7992;0.008;0.3506;0.002;0.3756;0.3457;0.2687;0.6953;0.6653;0.8971;0.7602;0.4346;0.8352;0.8282;0.043;0.9421;0.95
lnu(C);0.0929;0.004;0.006;0.2008;0.1029;0.3267;0.7902;0.1588;0.1379;0.3477;1;0.2867;0.5075;0.001;0.6853;0.001;0.046;0.0829;0.2218;0.02;0.7133;0.022;0.1039;0.026;0.0909;0.1329;0.9341;0.6404;0.3806;0.032;0.002;0.9091;1;0.6573;0.018;0.001;0.5295;0.045;0.9441;0.2527;0.5025;0.9131;0.6354;0.009;0.2268;0.7802;0.1479;0.7313;0.003;0.04;0.2757;0.2068;0.005;0.018;0.3516;0.023;0.021;0.001;0.1179;0.002;0.001;0.1608;0.001;0.5524;0.2038;0.006;0.5824;0.001;0.001;0.005
erm(F);0.7892;0.0899;0.009;0.1469;0.4895;0.039;0.021;0.5195;0.7722;0.7173;0.001;0.3606;0.6733;0.6354;0.1748;0.5574;0.001;0.7742;0.984;0.035;0.7453;0.7263;0.5175;0.1628;0.016;0.001;0.0919;0.2747;0.8681;0.001;0.001;0.021;0.6573;1;0.2667;0.041;0.3397;0.006;0.964;0.003;0.1069;0.025;0.004;0.009;0.038;0.2048;0.7443;0.3606;0.012;0.029;0.001;0.001;0.013;0.013;0.001;0.006;0.957;0.018;0.003;0.5035;0.03;0.002;0.032;0.002;0.003;0.007;0.024;0.4935;0.0829;0.02
ant(6)-Ia;0.2338;0.1968;0.001;0.021;0.001;0.0829;0.6683;0.9241;0.005;0.001;0.008;0.1538;0.001;0.001;0.018;0.044;0.015;0.0509;0.001;0.001;0.001;0.3926;0.001;0.001;0.001;0.009;0.0699;0.015;0.0809;0.036;0.002;0.016;0.018;0.2667;1;0.6503;0.5534;0.2537;0.5365;0.2278;0.0609;0.001;0.013;0.013;0.5724;0.6653;0.4306;0.005;0.006;0.8272;0.002;0.6154;0.2218;0.007;0.5225;0.049;0.987;0.008;0.3257;0.0639;0.8442;0.5714;0.019;0.3836;0.001;0.006;0.01;0.017;0.011;0.037
blaTEM-116;0.019;0.2488;0.001;0.7053;0.037;0.3686;0.3407;0.8162;0.1019;0.02;0.4685;0.005;0.03;0.001;0.3756;0.002;0.0539;0.4555;0.025;0.0509;0.7612;0.001;0.5734;0.1578;0.023;0.0649;0.1449;0.3277;0.8142;0.3516;0.003;0.8472;0.001;0.041;0.6503;1;0.6953;0.004;0.3786;0.2148;0.6304;0.3686;0.0609;0.007;0.047;0.6943;0.5844;0.1039;0.001;0.004;0.5285;0.6653;0.003;0.015;0.2128;0.027;0.001;0.001;0.3776;0.001;0.004;0.5395;0.001;0.021;0.016;0.004;0.041;0.001;0.001;0.001
aph(3'')-Ib;0.8771;0.001;0.4865;0.001;0.001;0.001;0.001;0.002;0.046;0.001;0.5235;0.001;0.001;0.001;0.0639;0.001;0.041;0.001;0.001;0.2158;0.001;0.001;0.2218;0.1598;0.4645;0.0729;0.001;0.001;0.001;0.2328;0.044;0.4825;0.5295;0.3397;0.5534;0.6953;1;0.6723;0.001;0.002;0.001;0.1399;0.013;0.1249;0.1149;0.001;0.3007;0.001;0.0879;0.004;0.987;0.3896;0.002;0.001;0.001;0.001;0.8362;0.5075;0.001;0.001;0.1079;0.001;0.3946;0.024;0.0639;0.7942;0.1119;0.1708;0.001;0.001
mre(A);0.5844;0.4376;0.2128;0.005;0.001;0.5954;0.9271;0.0939;0.3866;0.001;0.002;0.9411;0.001;0.001;0.1089;0.001;0.0779;0.3826;0.001;0.1239;0.003;0.0919;0.1469;0.998;0.1289;0.1359;0.1738;0.4306;0.2777;0.3377;0.002;0.2288;0.045;0.006;0.2537;0.004;0.6723;1;0.8631;0.2747;0.8691;0.8162;0.981;0.003;0.6074;0.011;0.7323;0.3986;0.01;0.1399;0.979;0.5165;0.012;0.02;0.2388;0.025;0.04;0.001;0.1938;0.012;0.005;0.2637;0.001;0.9311;0.3287;0.015;0.025;0.008;0.004;0.002
aph(6)-Id;0.8821;0.001;0.7333;0.001;0.001;0.001;0.001;0.003;0.0949;0.001;0.6823;0.001;0.001;0.001;0.036;0.001;0.025;0.001;0.001;0.1329;0.001;0.001;0.4785;0.1109;0.3007;0.1169;0.005;0.002;0.001;0.2557;0.0779;0.1998;0.9441;0.964;0.5365;0.3786;0.001;0.8631;1;0.001;0.001;0.6054;0.1049;0.5924;0.6643;0.005;0.0749;0.001;0.3257;0.017;0.7393;0.4785;0.005;0.001;0.001;0.001;0.6613;0.0909;0.001;0.001;0.019;0.001;0.952;0.024;0.012;0.2398;0.5984;0.5095;0.001;0.001
fosA;0.3686;0.001;0.6024;0.002;0.001;0.001;0.001;0.04;0.1019;0.001;0.3277;0.001;0.001;0.001;0.013;0.001;0.002;0.001;0.002;0.5235;0.002;0.001;0.2138;0.8871;0.6484;0.006;0.005;0.003;0.0529;0.001;0.001;0.2258;0.2527;0.003;0.2278;0.2148;0.002;0.2747;0.001;1;0.003;0.1738;0.6094;0.004;0.05;0.005;0.013;0.004;0.001;0.3307;0.6733;0.6384;0.03;0.001;0.003;0.001;0.5145;0.001;0.001;0.6154;0.002;0.001;0.0649;0.8212;0.0589;0.1339;0.2907;0.2547;0.1608;0.018
